"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "XML", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"a:\projects\club-4k\README.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 20, 63
"a:\projects\club-4k\configs\db.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"a:\projects\club-4k\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"a:\projects\club-4k\liara.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"a:\projects\club-4k\models\Admin.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"a:\projects\club-4k\models\Challenge.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 2, 3, 24
"a:\projects\club-4k\models\Chat.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"a:\projects\club-4k\models\Comment.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"a:\projects\club-4k\models\Console.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"a:\projects\club-4k\models\Echo.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"a:\projects\club-4k\models\GameSession.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 2, 6, 71
"a:\projects\club-4k\models\News.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"a:\projects\club-4k\models\Otp.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"a:\projects\club-4k\models\Ticket.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 4, 50
"a:\projects\club-4k\models\Users.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 2, 3, 63
"a:\projects\club-4k\next.config.mjs", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"a:\projects\club-4k\package-lock.json", "JSON", 0, 0, 5688, 0, 0, 0, 0, 0, 1, 5689
"a:\projects\club-4k\package.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"a:\projects\club-4k\postcss.config.mjs", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"a:\projects\club-4k\public\file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"a:\projects\club-4k\public\globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"a:\projects\club-4k\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"a:\projects\club-4k\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"a:\projects\club-4k\public\window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"a:\projects\club-4k\src\app\about-us\page.jsx", "JavaScript JSX", 0, 0, 0, 121, 0, 0, 0, 2, 7, 130
"a:\projects\club-4k\src\app\api\auth\forgotPassword\resetPassword\route.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 8, 59
"a:\projects\club-4k\src\app\api\auth\forgotPassword\send\route.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 6, 65
"a:\projects\club-4k\src\app\api\auth\forgotPassword\verify\route.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"a:\projects\club-4k\src\app\api\auth\loginAdmin\route.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 8, 67
"a:\projects\club-4k\src\app\api\auth\loginUser\route.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 10, 86
"a:\projects\club-4k\src\app\api\auth\me\route.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 1, 7, 34
"a:\projects\club-4k\src\app\api\auth\protected\route.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"a:\projects\club-4k\src\app\api\auth\refresh-token\route.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 11, 57
"a:\projects\club-4k\src\app\api\auth\registerAdmin\route.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 24, 115
"a:\projects\club-4k\src\app\api\auth\signOutAdmin\route.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 10, 55
"a:\projects\club-4k\src\app\api\auth\signOut\route.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"a:\projects\club-4k\src\app\api\auth\signin\route.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 18, 131
"a:\projects\club-4k\src\app\api\auth\sms\send\route.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 8, 67
"a:\projects\club-4k\src\app\api\challenge\[id]\route.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 4, 90
